        0.00474072    1.21677895e-02
        0.02499239    2.83556883e-02
        0.06148335    4.46432427e-02
        0.11431958    6.10532130e-02
        0.18364546    7.76303479e-02
        0.26965219    9.44233289e-02
        0.37258145    1.11484470e-01
        0.49272938    1.28870543e-01
        0.63045156    1.46643914e-01
        0.78616933    1.64873950e-01
        0.96037760    1.83638768e-01
        1.15365466    2.03027425e-01
        1.36667447    2.23142718e-01
        1.60022212    2.44104811e-01
        1.85521348    2.66056024e-01
        2.13272043    2.89167264e-01
        2.43400358    3.13646833e-01
        2.76055548    3.39752760e-01
        3.11415867    3.67810473e-01
        3.49696520    3.98238862e-01
        3.91160849    4.31589924e-01
        4.36136529    4.68611401e-01
        4.85039862    5.10350265e-01
        5.38413854    5.58333298e-01
        5.96991219    6.14904441e-01
        6.61806178    6.83913055e-01
        7.34412386    7.72294788e-01
        8.17368105    8.94374247e-01
        9.15564665    1.08718729e+00
       10.41575244    1.50261116e+00
